city,year,weekofyear,total_cases
iq,2000,26,0
iq,2000,27,0
iq,2000,28,0
iq,2000,29,0
iq,2000,30,0
iq,2000,31,0
iq,2000,32,0
iq,2000,33,0
iq,2000,34,0
iq,2000,35,0
iq,2000,36,1
iq,2000,37,0
iq,2000,38,0
iq,2000,39,0
iq,2000,40,0
iq,2000,41,1
iq,2000,42,1
iq,2000,43,0
iq,2000,44,0
iq,2000,45,0
iq,2000,46,0
iq,2000,47,0
iq,2000,48,0
iq,2000,49,0
iq,2000,50,1
iq,2000,51,0
iq,2001,1,0
iq,2001,2,0
iq,2001,3,0
iq,2001,4,0
iq,2001,5,0
iq,2001,6,0
iq,2001,7,0
iq,2001,8,0
iq,2001,9,0
iq,2001,10,0
iq,2001,11,0
iq,2001,12,0
iq,2001,13,0
iq,2001,14,0
iq,2001,15,0
iq,2001,16,1
iq,2001,17,0
iq,2001,18,0
iq,2001,19,0
iq,2001,20,0
iq,2001,21,1
iq,2001,22,1
iq,2001,23,0
iq,2001,24,0
iq,2001,25,1
iq,2001,26,0
iq,2001,27,0
iq,2001,28,0
iq,2001,29,0
iq,2001,30,0
iq,2001,31,0
iq,2001,32,0
iq,2001,33,0
iq,2001,34,0
iq,2001,35,0
iq,2001,36,0
iq,2001,37,0
iq,2001,38,0
iq,2001,39,0
iq,2001,40,0
iq,2001,41,0
iq,2001,42,0
iq,2001,43,0
iq,2001,44,0
iq,2001,45,0
iq,2001,46,0
iq,2001,47,1
iq,2001,48,1
iq,2001,49,1
iq,2001,50,2
iq,2001,51,4
iq,2001,52,1
iq,2002,1,4
iq,2002,2,11
iq,2002,3,16
iq,2002,4,23
iq,2002,5,12
iq,2002,6,14
iq,2002,7,18
iq,2002,8,8
iq,2002,9,7
iq,2002,10,10
iq,2002,11,7
iq,2002,12,10
iq,2002,13,5
iq,2002,14,11
iq,2002,15,8
iq,2002,16,18
iq,2002,17,13
iq,2002,18,9
iq,2002,19,22
iq,2002,20,10
iq,2002,21,5
iq,2002,22,13
iq,2002,23,2
iq,2002,24,11
iq,2002,25,11
iq,2002,26,3
iq,2002,27,7
iq,2002,28,7
iq,2002,29,4
iq,2002,30,5
iq,2002,31,6
iq,2002,32,7
iq,2002,33,7
iq,2002,34,4
iq,2002,35,9
iq,2002,36,17
iq,2002,37,8
iq,2002,38,22
iq,2002,39,18
iq,2002,40,21
iq,2002,41,16
iq,2002,42,31
iq,2002,43,25
iq,2002,44,28
iq,2002,45,26
iq,2002,46,18
iq,2002,47,27
iq,2002,48,11
iq,2002,49,38
iq,2002,50,29
iq,2002,51,21
iq,2002,52,11
iq,2003,1,10
iq,2003,2,5
iq,2003,3,6
iq,2003,4,2
iq,2003,5,1
iq,2003,6,2
iq,2003,7,2
iq,2003,8,3
iq,2003,9,5
iq,2003,10,1
iq,2003,11,4
iq,2003,12,2
iq,2003,13,4
iq,2003,14,0
iq,2003,15,0
iq,2003,16,0
iq,2003,17,0
iq,2003,18,1
iq,2003,19,1
iq,2003,20,1
iq,2003,21,1
iq,2003,22,1
iq,2003,23,2
iq,2003,24,3
iq,2003,25,4
iq,2003,26,6
iq,2003,27,2
iq,2003,28,2
iq,2003,29,5
iq,2003,30,1
iq,2003,31,1
iq,2003,32,0
iq,2003,33,0
iq,2003,34,0
iq,2003,35,0
iq,2003,36,2
iq,2003,37,0
iq,2003,38,3
iq,2003,39,0
iq,2003,40,0
iq,2003,41,0
iq,2003,42,2
iq,2003,43,2
iq,2003,44,3
iq,2003,45,3
iq,2003,46,3
iq,2003,47,1
iq,2003,48,2
iq,2003,49,3
iq,2003,50,6
iq,2003,51,5
iq,2003,52,1
